staff_id,name,role,rate,nationality,fdh_permit,department,join_date
D13786,WONGAIMEI,Steel Fixer,1479,PK,FDH-79062,Mechanical,2024-03-17
D56266,LEUNG MAN CHU,Trade Worker,1119,MY,FDH-42708,Finishing,2024-08-17
D60199,HO MAN SHUN,Electrician,1231,CN,FDH-71813,Mechanical,2024-10-02
D67324,CHEUNGCHISHING,Crane Operator,1642,HK,FDH-49106,Mechanical,2023-10-25
D38640,MA HAU CHI,Skilled Labour,1172,HK,FDH-84969,Electrical,2024-04-29
D71947,LAM AI MEI,Plumber,1371,TH,FDH-35946,Finishing,2024-10-15
D45412,FONG YUK NAM,Safety Officer,1754,BD,FDH-89188,Electrical,2024-10-01
D85851,POONMANTAO,Welder,1011,IN,FDH-47322,Finishing,2025-04-11
D14367,HO MAN SHUN,Tower Crane Op,2069,PK,FDH-76249,Structural,2023-09-20
D23151,LI YUK CHING,Tower Crane Op,1622,PH,FDH-97957,Finishing,2025-05-24
D87160,MA AI NGOR,Supervisor,1684,VN,FDH-78445,Structural,2023-10-08
D83349,LEUNG MAN CHU,General Builder,1199,PH,,Finishing,2024-02-17
D10100,LEE TAK WAH,Steel Fixer,1003,PH,FDH-19234,Electrical,2025-05-07
D24819,LI MAN KIU,Steel Fixer,1211,HK,FDH-85512,Electrical,2025-06-26
D54795,LEUNG WAI CHAN,Labourer,850,IN,FDH-69083,Structural,2023-06-09
D41130,CHEN AI MEI,Tower Crane Op,1793,HK,FDH-42926,Finishing,2024-06-26
D60690,CHEN AI MEI,Plumber,1027,HK,FDH-54935,Mechanical,2023-07-23
D69392,WONG HAU CHI,Welder,1006,BD,FDH-27274,Structural,2025-05-26
D31658,HO YUK CHING,Crane Operator,1517,PK,FDH-39233,Finishing,2024-07-08
D37499,LI MAN KIU,General Builder,937,BD,FDH-81713,Electrical,2024-08-25
D31284,CHAN HANG HEI,Electrician,1161,IN,FDH-36041,Mechanical,2024-08-25
D77526,POON WAI YEE,General Builder,810,CN,FDH-13397,Mechanical,2025-03-12
D96112,LEUNG WAI CHAN,Safety Officer,1574,MY,FDH-63983,Finishing,2025-03-08
D93585,NG AI MENG,Concreter,1268,HK,FDH-18525,Mechanical,2025-10-02
D54733,LAU KONG,Scaffolder,1306,PH,FDH-46017,Electrical,2023-10-14
D45235,MA AI NGOR,General Builder,836,HK,FDH-97668,Mechanical,2023-10-24
D11142,POON MAN TAO,Electrician,1314,TH,,Finishing,2024-04-07
D95375,FONG AI SUM,Skilled Labour,1142,PH,FDH-81790,Mechanical,2025-03-04
D98310,LI YUK CHING,Trade Worker,937,HK,,Mechanical,2025-01-12
D45456,HO YUK CHING,Labourer,718,CN,FDH-29092,Electrical,2025-04-21
D21381,KWOK AI MENG,Labourer,918,VN,FDH-22296,Electrical,2025-02-13
D69098,KWOK AI MENG,Tower Crane Op,2380,CN,FDH-98038,Electrical,2024-07-07
D40752,LAM MAN KIU,Electrician,1301,IN,FDH-51438,Electrical,2024-11-22
D25675,CHEUNG KONG,Skilled Labour,984,VN,FDH-96684,Mechanical,2024-10-07
D17653,LEUNG WAI YEE,Skilled Labour,1213,PH,FDH-89962,Mechanical,2025-02-09
D13456,CHAN WAI KIN,Skilled Labour,1066,HK,FDH-35620,Finishing,2024-10-05
D97531,LEUNG WAI YEE,Scaffolder,1119,MY,FDH-23506,Finishing,2024-09-13
