staff_id,name,date,hours,rate,work_type
D72284,IP WAI SUM,2026-02-28,11.8,1800,Mechanical
D75984,IP WAI SUM,2026-02-05,6.8,1800,Mechanical
D77410,LAM MAN KIU,2026-02-19,8.4,1800,Finishing
D48941,NG AI MENG,2026-02-09,9.4,1800,Electrical
D16627,LAM KIN YIP,2026-02-18,6.4,1200,Finishing
D76750,WONG AI MEI,2026-02-10,8.2,1200,Structural
D89425,CHEN AI MEI,2026-02-20,10.4,2200,Mechanical
D76826,NG AI MENG,2026-02-11,11.0,800,Structural
D76710,MA HAU CHI,2026-02-03,6.1,1500,Structural
D85953,NG HAU CHI,2026-02-05,7.1,800,Finishing
D32928,LI MAN TAO,2026-02-06,11.4,800,Finishing
D93366,CHEN KONG,2026-02-14,6.4,1200,Mechanical
D56640,LI HAU WAN,2026-02-08,7.0,1200,Electrical
D29863,CHAN HANG HEI,2026-02-18,7.5,2200,Mechanical
D83332,MA HAU CHI,2026-02-06,9.4,800,Mechanical
D57105,LAU KONG,2026-02-04,6.6,1200,Structural
D28774,CHEN AI MEI,2026-02-25,7.7,800,Mechanical
D18259,POON SIU HUNG,2026-02-10,11.4,2200,Structural
D19661,LEUNG WAI YEE,2026-02-24,8.6,1200,Mechanical
D11801,LEE TAK WAH,2026-02-16,8.3,1800,Mechanical
D20029,WONG HAU CHI,2026-02-19,6.8,1000,Electrical
D56548,IP KIN YIP,2026-02-08,10.6,1000,Mechanical
D73202,LAU CHI SUM,2026-02-23,6.6,1000,Electrical
D58675,CHAN MAN TAO,2026-02-03,9.0,1000,Finishing
D92016,IP KIN YIP,2026-02-12,8.1,1800,Electrical
D71100,CHEN KONG,2026-02-07,11.8,1500,Finishing
D47697,CHEUNG AI NGOR,2026-02-17,6.5,1800,Finishing
D86255,CHEUNG KONG,2026-02-15,10.8,1500,Structural
D52146,KWOK SIU HUNG,2026-02-24,8.8,1000,Structural
D73801,NG HAU CHI,2026-02-21,11.9,1800,Electrical
D14545,FONG AI SUM,2026-02-07,11.8,800,Electrical
D33133,IP YUK CHAN,2026-02-05,7.7,1500,Electrical
D54217,LAM KIN YIP,2026-02-15,10.0,1500,Electrical
D88167,KWOK AI MENG,2026-02-21,9.7,1000,Mechanical
D88077,LEUNG WAI CHAN,2026-02-08,6.1,1500,Finishing
D90528,CHEUNG KONG,2026-02-06,10.9,2200,Finishing
D18224,CHEN KONG,2026-02-12,7.9,1500,Mechanical
D21792,IP YUK CHAN,2026-02-26,10.4,800,Mechanical
D44161,KWOK AI MENG,2026-02-25,9.3,1500,Finishing
D91569,CHEUNG KONG,2026-02-23,9.7,800,Structural
D76882,LI MAN TAO,2026-02-17,9.2,2200,Finishing
D34526,WONG HAU CHI,2026-02-21,11.0,1000,Electrical
D16030,LAM MAN KIU,2026-02-21,7.1,800,Finishing
D24631,POON SIU HUNG,2026-02-20,7.4,1200,Structural
D25429,LI MAN KIU,2026-02-05,8.3,1200,Electrical
D29580,LAM AI MEI,2026-02-23,7.4,1500,Structural
D38147,FONG YUK NAM,2026-02-11,6.5,1500,Mechanical
D93486,MA KIN LEUNG,2026-02-07,6.8,1800,Electrical
D64746,KWOK AI MENG,2026-02-04,11.0,2200,Finishing
D98276,LI HAU WAN,2026-02-13,6.7,2200,Finishing
D82027,NG WAI CHUNG,2026-02-21,10.0,800,Mechanical
D20879,CHEN AI MEI,2026-02-11,7.8,2200,Finishing
D55153,LAU KONG,2026-02-01,11.8,1500,Mechanical
D19646,MA KIN LEUNG,2026-02-26,11.4,1500,Mechanical
D28806,LI HAU WAN,2026-02-18,6.1,1500,Structural
D44983,CHAN WAI KIN,2026-02-22,11.8,1500,Structural
D49056,NG WAI CHUNG,2026-02-22,10.0,800,Mechanical
D29722,WONG CHI SUM,2026-02-25,6.1,1800,Mechanical
D24849,LEUNG WAI YEE,2026-02-16,8.5,1800,Electrical
D87576,NG AI MENG,2026-02-03,7.5,2200,Electrical
D37470,LAU CHI SUM,2026-02-05,6.3,1500,Mechanical
D44403,IP WAI SUM,2026-02-19,6.2,2200,Electrical
D85699,LAM KIN YIP,2026-02-27,6.9,800,Structural
D17139,KWOK SIU HUNG,2026-02-19,11.4,2200,Mechanical
D90002,IP YUK CHAN,2026-02-17,7.1,1500,Mechanical
D74749,LEUNG WAI YEE,2026-02-04,8.7,2200,Mechanical
D15085,IP WAI SUM,2026-02-03,7.9,1200,Structural
D92073,WONG AI MEI,2026-02-27,10.5,1800,Mechanical
D16531,CHEN MAN SHUN,2026-02-04,11.1,1200,Mechanical
D76758,LEUNG MAN CHU,2026-02-14,6.8,1000,Electrical
D61430,NG AI MENG,2026-02-12,8.3,1500,Structural
D24280,CHEUNG AI NGOR,2026-02-13,10.1,1000,Electrical
D54620,LAM AI MEI,2026-02-17,9.4,800,Electrical
D97355,CHEN MAN SHUN,2026-02-03,9.8,1800,Finishing
D66292,MA AI NGOR,2026-02-04,6.3,1500,Finishing
D60827,IP YUK CHAN,2026-02-10,10.0,1500,Mechanical
D50231,LEUNG MAN CHU,2026-02-11,8.1,1000,Mechanical
D67845,LAU LOK CHI,2026-02-01,8.9,2200,Structural
D79937,CHAN MAN TAO,2026-02-07,11.0,1500,Mechanical
D43326,FONG AI SUM,2026-02-28,9.3,1500,Electrical
D48113,FONG YUK NAM,2026-02-15,11.1,1800,Mechanical
D43874,POON MAN TAO,2026-02-08,9.0,1200,Finishing
D53584,LEUNG MAN CHU,2026-02-18,8.4,1500,Structural
D53893,NG WAI CHUNG,2026-02-01,11.8,1000,Structural
D91465,CHAN WAI CHUNG,2026-02-11,8.9,1000,Mechanical
D34661,FONG YUK NAM,2026-02-15,6.1,2200,Mechanical
D24761,NG AI MENG,2026-02-09,9.4,1500,Structural
D10882,FONG HANG HEI,2026-02-19,6.8,1500,Electrical
D89504,CHEN KONG,2026-02-12,8.2,1200,Electrical
D82348,MA HAU CHI,2026-02-07,8.5,1000,Electrical
D86278,FONG AI SUM,2026-02-09,9.6,1800,Electrical
D48850,POON SIU HUNG,2026-02-09,6.9,1200,Finishing
D92362,WONG KAM CHU,2026-02-01,10.2,1800,Finishing
D94491,LAU KONG,2026-02-14,8.7,1500,Structural
D36145,CHAN MAN TAO,2026-02-02,11.5,1200,Structural
D55606,WONG KAM CHU,2026-02-10,6.6,1200,Structural
D90829,CHEUNG KONG,2026-02-17,6.9,1500,Finishing
D76328,CHEUNG AI NGOR,2026-02-02,6.9,1200,Electrical
D86127,HO YUK CHING,2026-02-25,7.6,1500,Structural
D58456,HO MAN SHUN,2026-02-10,7.6,1500,Mechanical
D54237,POON MAN TAO,2026-02-27,10.3,2200,Structural
D82142,WONG CHI SUM,2026-02-19,10.1,800,Structural
D85772,LAM MAN KIU,2026-02-24,6.6,1000,Finishing
D63255,LEUNG WAI YEE,2026-02-03,9.8,1200,Finishing
D17348,LEUNG WAI YEE,2026-02-06,10.8,800,Finishing
D47113,LI MAN TAO,2026-02-12,11.8,2200,Electrical
D59808,LAM MAN KIU,2026-02-09,10.2,1200,Mechanical
D35424,WONG CHI SUM,2026-02-14,7.9,1000,Mechanical
D58616,LAU CHI SUM,2026-02-22,10.2,1500,Structural
D38552,LEUNG MAN CHU,2026-02-02,11.1,2200,Structural
D83713,NG AI MENG,2026-02-24,6.7,1000,Finishing
D82561,LEE TAK WAH,2026-02-16,12.0,2200,Mechanical
D42136,LAU KONG,2026-02-11,10.3,1200,Mechanical
D28427,LAM KIN YIP,2026-02-14,10.1,1000,Mechanical
D54235,POON WAI YEE,2026-02-19,9.4,2200,Mechanical
D56404,CHEUNG AI NGOR,2026-02-27,8.3,1500,Electrical
D80226,FONG YUK NAM,2026-02-21,11.7,1800,Finishing
D28919,LAM KIN YIP,2026-02-15,11.2,800,Finishing
D59701,LI MAN KIU,2026-02-14,8.1,1800,Electrical
D73390,FONG AI SUM,2026-02-03,6.4,1200,Electrical
D35869,MA HAU CHI,2026-02-27,6.2,1200,Structural
D23306,CHEUNG KONG,2026-02-14,8.9,1200,Electrical
D22645,LI MAN TAO,2026-02-19,11.9,800,Electrical
D73052,MA HAU CHI,2026-02-17,10.3,1200,Structural
D37190,FONG YUK NAM,2026-02-22,8.9,2200,Structural
D54176,WONG AI MEI,2026-02-01,9.6,1000,Structural
D10751,LI MAN TAO,2026-02-15,9.6,2200,Structural
D44658,CHAN HANG HEI,2026-02-25,10.6,1000,Structural
D82664,NG HAU CHI,2026-02-25,10.0,800,Mechanical
D23895,NG AI MENG,2026-02-09,8.9,1000,Structural
D31614,IP WAI SUM,2026-02-28,10.2,1800,Mechanical
D45119,LEE TAK WAH,2026-02-11,9.0,1500,Mechanical
D39249,LI HAU WAN,2026-02-24,11.5,800,Electrical
D15846,LEUNG WAI CHAN,2026-02-06,11.7,1500,Mechanical
D63875,LAU KONG,2026-02-09,11.6,1000,Structural
D64854,LI MAN TAO,2026-02-12,6.3,1000,Finishing
D95070,IP YUK CHAN,2026-02-13,6.6,1800,Electrical
D19857,KWOK KIN LEUNG,2026-02-18,8.1,1200,Structural
D38609,IP WAI SUM,2026-02-06,10.0,1000,Electrical
D91875,LAU CHI SUM,2026-02-12,8.0,1000,Electrical
D68832,CHEN MAN SHUN,2026-02-14,11.6,1500,Finishing
D39532,CHEUNG AI NGOR,2026-02-23,10.3,2200,Electrical
D69978,IP YUK CHAN,2026-02-27,7.1,1000,Electrical
D38962,LEE TAK WAH,2026-02-08,9.7,2200,Structural
D72062,NG AI MENG,2026-02-09,10.4,1200,Structural
D69722,CHEN KONG,2026-02-23,11.1,1800,Structural
D52009,IP WAI SUM,2026-02-18,6.9,1800,Structural
D84954,CHEN AI MEI,2026-02-10,6.7,800,Mechanical
D81167,CHEUNG AI NGOR,2026-02-15,8.1,1500,Finishing
D20771,CHEUNG AI NGOR,2026-02-25,6.9,1500,Electrical
D85574,NG HAU CHI,2026-02-03,9.0,1000,Structural
D92201,LAU LOK CHI,2026-02-08,6.7,1500,Mechanical
D44366,FONG AI SUM,2026-02-19,11.2,1800,Finishing
D16910,HO MAN SHUN,2026-02-14,9.9,1500,Structural
