staff_id,name,role,rate,nationality,fdh_permit,department,join_date
G71813,CHANWAICHUNG,Electrician,1598,PH,FDH-38299,Electrical,2024-05-08
G32772,POONMANTAO,Trade Worker,1115,VN,FDH-56859,Finishing,2023-12-19
G28321,POON WAI YEE,Trade Worker,1127,IN,FDH-67109,Electrical,2023-05-28
G22195,LI HAU WAN,Safety Officer,1542,NP,FDH-75030,Structural,2023-10-17
G48011,CHEN KONG,Supervisor,1526,PH,FDH-97310,Structural,2025-04-01
G56265,IPWAISUM,Safety Officer,1804,BD,,Structural,2024-11-06
G60540,MA KIN LEUNG,Tower Crane Op,2438,NP,FDH-31492,Mechanical,2025-07-29
G34316,LIHAUWAN,Supervisor,1737,NP,FDH-52258,Electrical,2024-05-24
G66646,CHEN KONG,Supervisor,1806,PH,FDH-85254,Electrical,2024-08-31
G72593,NG HAU CHI,Crane Operator,1770,PH,FDH-98445,Mechanical,2024-11-29
G82973,LI HAU WAN,Steel Fixer,1510,IN,FDH-19876,Finishing,2024-04-11
G67163,CHAN MAN TAO,General Builder,1158,PH,FDH-68672,Mechanical,2024-08-09
G42774,LAM AI MEI,Plumber,1134,BD,,Finishing,2025-06-21
G10205,CHEN KONG,Labourer,1040,MY,FDH-63203,Mechanical,2025-11-05
G33472,NG HAU CHI,Crane Operator,1998,TH,FDH-86409,Structural,2025-02-03
G32225,CHAN WAI KIN,Trade Worker,1250,TH,FDH-61580,Finishing,2025-11-25
G69590,LAM AI MEI,Concreter,1070,PH,FDH-26358,Mechanical,2024-10-19
G10083,HO YUK CHING,Labourer,1021,VN,,Finishing,2023-06-02
G31951,WONG CHI SUM,Trade Worker,1175,BD,FDH-18063,Structural,2024-09-20
G50298,CHAN WAI KIN,Steel Fixer,1399,IN,FDH-61425,Structural,2023-07-09
G38808,LI MAN TAO,Labourer,1092,PK,,Electrical,2025-04-25
G99193,HO YUK CHING,Trade Worker,1291,IN,FDH-43244,Electrical,2024-07-26
G56129,NG AI MENG,General Builder,925,BD,FDH-49321,Electrical,2023-06-24
G38311,POON SIU HUNG,Electrician,1263,IN,FDH-17303,Structural,2024-04-08
G39950,IP WAI SUM,Concreter,1057,BD,FDH-47991,Mechanical,2025-01-24
G93676,POON WAI YEE,Supervisor,1954,IN,FDH-32428,Finishing,2025-06-26
G87161,CHEN KONG,Crane Operator,2029,CN,FDH-30702,Structural,2024-11-20
G57741,CHEN KONG,General Builder,1136,VN,FDH-77697,Structural,2024-07-13
G14541,POON WAI YEE,Supervisor,1459,PK,FDH-24259,Electrical,2024-07-11
G63664,LEUNG WAI YEE,Plumber,1252,PH,FDH-66388,Finishing,2025-07-07
G20140,WONG CHI SUM,Scaffolder,1421,CN,FDH-88206,Finishing,2024-09-02
G22631,LI MAN TAO,Crane Operator,2089,VN,FDH-19118,Mechanical,2024-05-24
G38495,NG AI MENG,Electrician,1503,TH,FDH-57166,Finishing,2023-12-26
G35278,POON WAI YEE,Concreter,1211,HK,FDH-25907,Mechanical,2024-01-30
G34154,KWOK SIU HUNG,Electrician,1388,TH,FDH-50599,Mechanical,2025-04-10
G80420,LAU LOK CHI,Electrician,1546,PH,FDH-73676,Structural,2024-10-26
G37919,WONG KAM CHU,Crane Operator,1720,HK,FDH-51946,Structural,2025-01-28
G49046,HO WAI CHAN,Foreman,2164,VN,FDH-19212,Electrical,2023-05-30
G42873,MA KIN LEUNG,Welder,1257,HK,FDH-83986,Mechanical,2023-07-19
G85308,LEUNG MAN CHU,General Builder,1153,MY,FDH-25202,Structural,2023-06-27
G18757,CHEUNG KONG,Foreman,1587,HK,FDH-96472,Structural,2024-04-19
G82091,KWOK AI MENG,Electrician,1341,PK,FDH-95838,Structural,2024-02-23
