staff_id,name,date,hours,rate,work_type
G96927,LAM AI MEI,2026-02-20,6.9,1357,Mechanical
G13013,LI MAN KIU,2026-02-11,8.4,2389,Finishing
G46618,IP YUK CHAN,2026-02-05,6.7,1586,Mechanical
G55244,LEUNG WAI CHAN,2026-02-28,10.4,1984,Mechanical
G26708,LEUNG WAI CHAN,2026-02-19,10.2,1657,Mechanical
G79656,HO YUK CHING,2026-02-07,6.1,912,Electrical
G38818,LAM AI MEI,2026-02-25,11.2,1097,Electrical
G63949,CHAN WAI CHUNG,2026-02-23,8.9,1927,Structural
G47058,HO YUK CHING,2026-02-19,7.3,903,Finishing
G77521,KWOK SIU HUNG,2026-02-05,7.4,1891,Structural
G50632,POON SIU HUNG,2026-02-25,6.9,2045,Mechanical
G46152,LAU KONG,2026-02-10,8.3,1134,Mechanical
G90630,LI YUK CHING,2026-02-08,6.6,1604,Structural
G34731,LAM AI MEI,2026-02-24,11.2,1089,Structural
G49284,CHEN KONG,2026-02-08,9.2,1997,Structural
G16079,POON WAI YEE,2026-02-27,6.5,1127,Structural
G76904,CHEUNG AI NGOR,2026-02-15,7.9,1378,Structural
G28830,FONG HANG HEI,2026-02-14,10.3,1080,Finishing
G13204,KWOK KIN LEUNG,2026-02-16,11.0,1354,Finishing
G10053,CHAN MAN TAO,2026-02-10,6.8,1708,Finishing
G88553,MA HAU CHI,2026-02-07,10.9,1137,Mechanical
G93341,LAM MAN KIU,2026-02-07,11.6,1924,Mechanical
G88062,HO YUK CHING,2026-02-24,7.5,1087,Mechanical
G70037,LEUNG WAI CHAN,2026-02-16,11.5,1632,Structural
G67807,MA AI NGOR,2026-02-26,6.0,1612,Mechanical
G17424,LEUNG MAN CHU,2026-02-17,10.1,1648,Electrical
G92138,CHEN MAN SHUN,2026-02-06,9.4,1262,Electrical
G19183,LI YUK CHING,2026-02-25,6.6,852,Finishing
G71664,LAM KIN YIP,2026-02-24,7.3,1917,Electrical
G66085,IP YUK CHAN,2026-02-14,12.0,1601,Electrical
G42804,MA AI NGOR,2026-02-21,8.1,2504,Mechanical
G56102,HO MAN SHUN,2026-02-07,10.2,2435,Electrical
G74626,LEUNG MAN CHU,2026-02-15,7.0,1936,Mechanical
G88881,FONG HANG HEI,2026-02-17,10.0,1313,Structural
G47767,HO WAI CHAN,2026-02-28,10.9,917,Electrical
G79609,NG WAI CHUNG,2026-02-09,9.6,2025,Mechanical
G90493,IP YUK CHAN,2026-02-14,8.8,1676,Electrical
G10853,LAM AI MEI,2026-02-02,11.6,1129,Electrical
G68265,HO YUK CHING,2026-02-02,10.1,1325,Mechanical
G82417,LAM KIN YIP,2026-02-08,9.2,852,Mechanical
G51265,LAU KONG,2026-02-26,8.1,1907,Electrical
G79439,LAM KIN YIP,2026-02-06,10.4,1060,Structural
